|tripnum     |depotcode|transporter               |vehiclereg|startdate              |stopdate               |avg_percent|loaddate                     |total_trip_time|total_distance|
|2024-0059399|EB21     |Unitrans Supply Chain Sols|CAA130019 |2024-10-09 11:48:00.000|2024-10-09 16:15:00.000|86.44      |2024-10-09 11:47:00.000 +0200|16,020         |211           |
|2024-0059565|EA35     |Unitrans Supply Chain Sols|CAA419011 |2024-10-10 08:08:00.000|2024-10-11 07:01:00.000|23.03      |2024-10-10 08:08:00.000 +0200|82,380         |129           |
|2024-0059488|EA33     |Unitrans Supply Chain Sols|CAA425438 |2024-10-09 19:40:00.000|                       |94.53      |2024-10-09 19:36:00.000 +0200|               |0             |
|2024-0059973|EB06     |Tanker Services Fuel      |KP55MSGP  |2024-10-12 03:08:00.000|                       |93.35      |2024-10-12 02:59:00.000 +0200|               |0             |
|2024-0060886|EB06     |Tanker Services Fuel      |KP80GGGP  |2024-10-16 10:36:00.000|                       |81.15      |2024-10-16 10:29:00.000 +0200|               |0             |
|2024-0060463|EB21     |Makwande                  |KN52WDGP  |2024-10-14 14:38:00.000|2024-10-15 00:11:00.000|89.87      |2024-10-14 14:37:00.000 +0200|34,380         |172           |
|2024-0049319|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-08-22 21:53:00.000|                       |84.75      |2024-08-22 19:46:00.000 +0200|               |0             |
|2024-0056505|EB06     |Tanker Services Fuel      |KP69YDGP  |2024-09-25 22:19:00.000|                       |82.76      |2024-09-25 22:07:00.000 +0200|               |0             |
|2024-0060759|EB05     |Tanker Services Fuel      |KP57KCGP  |2024-10-15 20:01:00.000|                       |70.99      |2024-10-15 00:00:00.000 +0200|               |0             |
|2024-0050377|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-08-28 13:24:00.000|2024-08-28 21:16:00.000|87.22      |2024-08-28 13:19:00.000 +0200|28,320         |66            |
|2024-0052043|EB21     |Makwande                  |KP41VSGP  |2024-09-05 01:12:00.000|2024-09-05 12:12:00.000|78.34      |2024-09-05 01:12:00.000 +0200|39,600         |17            |
|2024-0063217|EA33     |Unitrans Supply Chain Sols|CAA130019 |2024-10-27 08:19:00.000|2024-10-27 19:52:00.000|82.89      |2024-10-27 08:18:00.000 +0200|41,580         |91            |
|2024-0063354|EB21     |Unitrans Supply Chain Sols|CAA130019 |2024-10-27 22:36:00.000|2024-10-28 16:31:00.000|90.59      |2024-10-27 22:21:00.000 +0200|64,500         |263           |
|2024-0055178|EA33     |Unitrans Supply Chain Sols|CAA130019 |2024-09-19 10:01:00.000|                       |79.7       |2024-09-19 10:00:00.000 +0200|               |0             |
|2024-0056100|EA33     |Unitrans Supply Chain Sols|CAA173582 |2024-09-23 23:30:00.000|                       |94.29      |2024-09-23 23:26:00.000 +0200|               |0             |
|2024-0059002|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-10-07 18:53:00.000|2024-10-07 21:49:00.000|89.34      |2024-10-07 18:50:00.000 +0200|10,560         |102           |
|2024-0047570|EA33     |Reef Tankers              |LV19ZMGP  |2024-08-14 17:11:00.000|                       |94.75      |2024-08-14 17:05:00.000 +0200|               |0             |
|2024-0053825|EA33     |Unitrans Supply Chain Sols|CAA425312 |2024-09-13 01:23:00.000|2024-09-13 15:45:00.000|92.69      |2024-09-13 01:19:00.000 +0200|51,720         |112           |
|2024-0059256|EB06     |Tanker Services Fuel      |KP80NNGP  |2024-10-08 22:13:00.000|2024-10-09 08:40:00.000|92.42      |2024-10-08 22:09:00.000 +0200|37,620         |75            |
|2024-0059450|EB21     |Makwande                  |KN67GLGP  |2024-10-09 16:19:00.000|                       |91.62      |2024-10-09 16:19:00.000 +0200|               |0             |
|2024-0063608|EB06     |Tanker Services Fuel      |KP80NNGP  |2024-10-28 21:23:00.000|2024-10-29 11:36:00.000|84.95      |2024-10-28 21:20:00.000 +0200|51,180         |349           |
|2024-0046459|EA35     |Unitrans Supply Chain Sols|CAA330049 |2024-08-09 09:08:00.000|                       |72.93      |2024-08-09 09:07:00.000 +0200|               |0             |
|2024-0047432|EB06     |Tanker Services Fuel      |KP80HXGP  |2024-08-14 03:20:00.000|2024-08-14 21:11:00.000|87.25      |2024-08-14 03:14:00.000 +0200|64,260         |340           |
|2024-0045745|EA33     |Unitrans Supply Chain Sols|CAA425312 |2024-08-05 20:10:00.000|2024-08-06 10:14:00.000|86.8       |2024-08-05 20:06:00.000 +0200|50,640         |248           |
|2024-0062721|EB08     |Tanker Services Fuel      |KP80LYGP  |2024-10-25 06:00:00.000|2024-10-25 16:00:00.000|85.88      |2024-10-24 18:17:00.000 +0200|36,000         |380           |
|2024-0057291|EA33     |Unitrans Supply Chain Sols|CAA329932 |2024-09-30 02:23:00.000|                       |94.96      |2024-09-30 02:03:00.000 +0200|               |0             |
|2024-0044935|EA33     |Unitrans Supply Chain Sols|CAA130046 |2024-08-01 14:44:00.000|                       |94.9       |2024-08-01 14:35:00.000 +0200|               |0             |
|2024-0044935|EA33     |Unitrans Supply Chain Sols|CAA130046 |2024-08-01 14:44:00.000|2024-08-01 15:05:00.000|94.9       |2024-08-01 14:35:00.000 +0200|1,260          |117           |
|2024-0045486|EB21     |Makwande                  |KP75JPGP  |2024-08-04 19:36:00.000|                       |93.09      |2024-08-04 19:36:00.000 +0200|               |0             |
|2024-0046754|EB21     |Makwande                  |KP75JPGP  |2024-08-11 08:11:00.000|                       |86.62      |2024-08-11 08:11:00.000 +0200|               |0             |
|2024-0046713|EB23     |Makwande                  |KNM209MP  |2024-08-10 21:30:00.000|                       |79.41      |2024-08-10 21:27:00.000 +0200|               |0             |
|2024-0048633|EA33     |Unitrans Supply Chain Sols|CAA198211 |2024-08-19 22:47:00.000|2024-08-20 12:15:00.000|93.29      |2024-08-19 22:41:00.000 +0200|48,480         |90            |
|2024-0052767|EA33     |Unitrans Supply Chain Sols|CAA418992 |2024-09-08 16:46:00.000|2024-09-08 22:32:00.000|91.27      |2024-09-08 16:17:00.000 +0200|20,760         |66            |
|2024-0053585|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-09-12 01:17:00.000|                       |92.88      |2024-09-12 01:05:00.000 +0200|               |0             |
|2024-0060586|EB21     |Makwande                  |KS49XBGP  |2024-10-15 01:50:00.000|2024-10-15 15:10:00.000|89.05      |2024-10-15 01:50:00.000 +0200|48,000         |182           |
|2024-0060586|EB21     |Makwande                  |KS49WFGP  |2024-10-15 01:50:00.000|2024-10-15 15:10:00.000|89.98      |2024-10-15 01:50:00.000 +0200|48,000         |182           |
|2024-0048355|EB06     |Reef Tankers              |HH81RLGP  |2024-08-18 23:10:00.000|                       |93.38      |2024-08-18 22:56:00.000 +0200|               |0             |
|2024-0045344|EA33     |Unitrans Supply Chain Sols|CAA419040 |2024-08-03 16:37:00.000|                       |71.78      |2024-08-03 16:33:00.000 +0200|               |0             |
|2024-0045344|EA33     |Unitrans Supply Chain Sols|CAA419040 |2024-08-03 16:37:00.000|2024-08-04 01:25:00.000|71.78      |2024-08-03 16:33:00.000 +0200|31,680         |53            |
|2024-0046697|EB21     |Makwande                  |KNF950MP  |2024-08-10 19:43:00.000|2024-08-11 00:35:00.000|61.46      |2024-08-10 19:41:00.000 +0200|17,520         |144           |
|2024-0057146|EB21     |Makwande                  |KN52WDGP  |2024-09-29 08:45:00.000|2024-09-29 12:13:00.000|33.65      |2024-09-29 08:44:00.000 +0200|12,480         |49            |
|2024-0045393|EA33     |Unitrans Supply Chain Sols|CAA419006 |2024-08-04 02:20:00.000|2024-08-04 20:15:00.000|78.13      |2024-08-04 00:08:00.000 +0200|64,500         |281           |
|2024-0048209|EA33     |Unitrans Supply Chain Sols|CAA329932 |2024-08-17 17:18:00.000|2024-08-17 23:43:00.000|73.29      |2024-08-17 17:03:00.000 +0200|23,100         |127           |
|2024-0048995|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-08-21 14:02:00.000|2024-08-22 07:10:00.000|39.64      |2024-08-21 13:57:00.000 +0200|61,680         |62            |
|2024-0055310|EA33     |Unitrans Supply Chain Sols|CAA425438 |2024-09-19 23:54:00.000|                       |92.39      |2024-09-19 23:44:00.000 +0200|               |0             |
|2024-0055503|EB21     |Makwande                  |KS49XBGP  |2024-09-20 22:57:00.000|2024-09-21 03:00:00.000|89.23      |2024-09-20 22:56:00.000 +0200|14,580         |130           |
|2024-0055503|EB21     |Makwande                  |KS49WFGP  |2024-09-20 22:57:00.000|2024-09-21 03:00:00.000|54.54      |2024-09-20 22:56:00.000 +0200|14,580         |130           |
|2024-0060623|EB23     |Makwande                  |KNM197MP  |2024-10-15 08:42:00.000|                       |47.88      |2024-10-15 08:42:00.000 +0200|               |0             |
|2024-0047139|EB21     |Makwande                  |KS49WLGP  |2024-08-12 21:12:00.000|2024-08-13 00:30:00.000|92.07      |2024-08-12 21:12:00.000 +0200|11,880         |81            |
|2024-0047139|EB21     |Makwande                  |KS49VWGP  |2024-08-12 21:12:00.000|2024-08-13 00:30:00.000|0          |2024-08-12 21:12:00.000 +0200|11,880         |81            |
|2024-0046391|EB21     |Unitrans Supply Chain Sols|CAA198199 |2024-08-08 21:13:00.000|2024-08-09 01:40:00.000|89.11      |2024-08-08 21:13:00.000 +0200|16,020         |184           |
|2024-0051234|EB06     |Tanker Services Fuel      |KP80NNGP  |                       |                       |44.59      |                             |               |63            |
|2024-0053435|EB21     |Makwande                  |KN31RWGP  |2024-09-11 10:09:00.000|                       |50.23      |2024-09-11 10:09:00.000 +0200|               |0             |
|2024-0047415|EB06     |Tanker Services Fuel      |KP69YSGP  |2024-08-14 01:35:00.000|2024-08-14 21:25:00.000|88.27      |2024-08-14 01:30:00.000 +0200|71,400         |127           |
|2024-0062533|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-10-23 21:56:00.000|2024-10-24 00:49:00.000|84.2       |2024-10-23 21:53:00.000 +0200|10,380         |67            |
|2024-0053006|EB06     |Reef Tankers              |LV19PDGP  |2024-09-09 14:39:00.000|                       |92.76      |2024-09-09 14:29:00.000 +0200|               |0             |
|2024-0056949|EB06     |Tanker Services Fuel      |HG68LCGP  |2024-09-28 02:28:00.000|                       |86.98      |2024-09-28 02:18:00.000 +0200|               |0             |
|2024-0058396|EB06     |Tanker Services Fuel      |KR89BYGP  |2024-10-04 22:57:00.000|2024-10-05 09:16:00.000|92.34      |2024-10-04 22:53:00.000 +0200|37,140         |146           |
|2024-0060678|EA33     |Unitrans Supply Chain Sols|CAA170724 |2024-10-15 12:58:00.000|2024-10-15 19:58:00.000|80.96      |2024-10-15 12:55:00.000 +0200|25,200         |94            |
|2024-0049898|EB05     |Anax Logistics            |JDH103EC  |2024-08-26 12:41:00.000|                       |91.69      |2024-08-26 12:29:00.000 +0200|               |0             |
|2024-0061063|EB06     |Tanker Services Fuel      |HG68LCGP  |2024-10-17 02:03:00.000|                       |30.13      |2024-10-17 02:01:00.000 +0200|               |0             |
|2024-0060589|EB21     |Makwande                  |KN31RWGP  |2024-10-15 02:24:00.000|                       |94.66      |2024-10-15 02:22:00.000 +0200|               |0             |
|2024-0046794|EB21     |Makwande                  |KN23MGGP  |2024-08-11 01:56:00.000|                       |84.57      |2024-08-11 01:56:00.000 +0200|               |0             |
|2024-0052017|EB06     |Tanker Services Fuel      |KP80HXGP  |2024-09-04 22:52:00.000|2024-09-05 20:35:00.000|84.79      |2024-09-04 22:27:00.000 +0200|78,180         |341           |
|2024-0054365|EB06     |Tanker Services Fuel      |KP69WCGP  |2024-09-15 23:31:00.000|                       |80.72      |2024-09-15 23:24:00.000 +0200|               |0             |
|2024-0057133|EB06     |Tanker Services Fuel      |KP55MSGP  |2024-09-29 02:12:00.000|2024-09-29 11:16:00.000|91.98      |2024-09-29 02:09:00.000 +0200|32,640         |57            |
|2024-0048093|EB06     |Tanker Services Fuel      |KP69YDGP  |2024-08-17 02:24:00.000|2024-08-17 20:44:00.000|92.97      |2024-08-17 02:18:00.000 +0200|66,000         |383           |
|2024-0052932|EB21     |Makwande                  |KP09PHGP  |2024-09-09 10:38:00.000|2024-09-09 17:12:00.000|85.75      |2024-09-09 10:34:00.000 +0200|23,640         |100           |
|2024-0053036|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-09-09 16:59:00.000|2024-09-10 00:15:00.000|92.38      |2024-09-09 16:52:00.000 +0200|26,160         |106           |
|2024-0052294|EA35     |Unitrans Supply Chain Sols|CAA330049 |2024-09-06 08:12:00.000|2024-09-07 07:32:00.000|90.99      |2024-09-06 08:12:00.000 +0200|84,000         |539           |
|2024-0056169|EB06     |Tanker Services Fuel      |KP80GGGP  |2024-09-24 11:44:00.000|2024-09-24 19:32:00.000|82.88      |2024-09-24 11:36:00.000 +0200|28,080         |80            |
|2024-0058369|EB06     |Tanker Services Fuel      |KP80HXGP  |2024-10-04 21:17:00.000|                       |92.63      |2024-10-04 21:10:00.000 +0200|               |0             |
|2024-0050565|EB21     |Makwande                  |KP09PHGP  |2024-08-29 08:59:00.000|2024-08-29 19:08:00.000|77.08      |2024-08-29 08:59:00.000 +0200|36,540         |123           |
|2024-0052452|EB23     |Makwande                  |KNM191MP  |2024-09-06 20:55:00.000|                       |44.59      |2024-09-06 20:53:00.000 +0200|               |0             |
|2024-0052452|EB23     |Makwande                  |KNP803MP  |2024-09-06 20:55:00.000|                       |68.38      |2024-09-06 20:53:00.000 +0200|               |0             |
|2024-0054076|EB06     |Reef Tankers              |HH81RLGP  |2024-09-14 03:50:00.000|2024-09-14 15:05:00.000|94.3       |2024-09-14 03:44:00.000 +0200|40,500         |240           |
|2024-0057052|EA33     |Unitrans Supply Chain Sols|CAA142820 |2024-09-28 14:42:00.000|2024-09-29 00:04:00.000|80.63      |2024-09-28 14:39:00.000 +0200|33,720         |109           |
|2024-0044948|EB06     |ManLine Energy            |NP208299  |2024-08-01 15:40:00.000|                       |94.55      |2024-08-01 15:18:00.000 +0200|               |0             |
|2024-0062760|EB06     |Tanker Services Fuel      |KP55MSGP  |2024-10-24 23:27:00.000|2024-10-25 12:51:00.000|30.82      |2024-10-24 23:24:00.000 +0200|48,240         |44            |
|2024-0063168|EB21     |Makwande                  |KP09PHGP  |2024-10-26 21:15:00.000|2024-10-27 01:50:00.000|86.45      |2024-10-26 21:15:00.000 +0200|16,500         |58            |
|2024-0062453|EB06     |Reef Tankers              |LB66TXGP  |2024-10-23 14:00:00.000|                       |93.4       |2024-10-23 13:51:00.000 +0200|               |0             |
|2024-0056082|EB21     |Makwande                  |KN31RWGP  |2024-09-23 21:02:00.000|                       |84.39      |2024-09-23 21:02:00.000 +0200|               |0             |
|2024-0056133|EB21     |Makwande                  |KN23LXGP  |2024-09-24 08:33:00.000|2024-09-24 13:25:00.000|76.07      |2024-09-24 08:25:00.000 +0200|17,520         |86            |
|2024-0060289|EB06     |Tanker Services Fuel      |KP70CRGP  |2024-10-13 21:32:00.000|                       |83.92      |2024-10-13 21:27:00.000 +0200|               |0             |
|2024-0046118|EB21     |Makwande                  |KNF949MP  |2024-08-07 14:12:00.000|2024-08-08 01:40:00.000|94.5       |2024-08-07 13:45:00.000 +0200|41,280         |208           |
|2024-0051130|EB23     |Makwande                  |KNP803MP  |                       |                       |85.89      |                             |               |212           |
|2024-0051130|EB23     |Makwande                  |KNM191MP  |                       |                       |41.65      |                             |               |212           |
|2024-0052001|EA33     |Unitrans Supply Chain Sols|CAA548852 |2024-09-04 22:12:00.000|2024-09-05 09:45:00.000|72.33      |2024-09-04 22:11:00.000 +0200|41,580         |86            |
|2024-0062980|EB06     |Tanker Services Fuel      |KP69WCGP  |2024-10-25 22:49:00.000|2024-10-26 09:31:00.000|90.44      |2024-10-25 22:40:00.000 +0200|38,520         |106           |
|2024-0055295|EB06     |Tanker Services Fuel      |KP69XNGP  |2024-09-19 22:30:00.000|                       |68.24      |2024-09-19 22:13:00.000 +0200|               |0             |
|2024-0056701|EA33     |Unitrans Supply Chain Sols|CAA419040 |2024-09-26 20:20:00.000|                       |84.19      |2024-09-26 20:11:00.000 +0200|               |0             |
|2024-0056508|EB21     |Makwande                  |KP75JPGP  |2024-09-25 22:43:00.000|                       |85         |2024-09-25 22:43:00.000 +0200|               |0             |
|2024-0058120|EB23     |Makwande                  |KR60ZBGP  |2024-10-03 19:20:00.000|                       |92.29      |2024-10-03 19:17:00.000 +0200|               |0             |
|2024-0060297|EB21     |Makwande                  |KP75JPGP  |2024-10-13 23:38:00.000|2024-10-14 19:05:00.000|89.61      |2024-10-13 23:38:00.000 +0200|70,020         |328           |
|2024-0047133|EB21     |Makwande                  |KS49WFGP  |2024-08-12 20:34:00.000|2024-08-13 00:10:00.000|78.2       |2024-08-12 20:29:00.000 +0200|12,960         |104           |
|2024-0051356|EB06     |Reef Tankers              |DX35GDGP  |2024-09-02 11:38:00.000|                       |94.14      |2024-09-02 11:27:00.000 +0200|               |0             |
|2024-0053994|EB05     |Tanker Services Fuel      |KP70DSGP  |2024-09-13 18:42:00.000|2024-09-14 14:12:00.000|92.51      |2024-09-13 18:36:00.000 +0200|70,200         |304           |
|2024-0053992|EB08     |Tanker Services Fuel      |KP80LYGP  |2024-09-14 06:01:00.000|                       |89.31      |2024-09-13 17:56:00.000 +0200|               |0             |
|2024-0059748|EA33     |Unitrans Supply Chain Sols|CAA329932 |2024-10-11 01:12:00.000|                       |94.4       |2024-10-11 01:08:00.000 +0200|               |0             |
|2024-0048963|EB06     |Tanker Services Fuel      |KP80MRGP  |2024-08-21 11:03:00.000|2024-08-21 20:17:00.000|82.82      |2024-08-21 10:57:00.000 +0200|33,240         |101           |
|2024-0062284|EA33     |Unitrans Supply Chain Sols|CAA425318 |2024-10-22 19:00:00.000|2024-10-22 23:09:00.000|92.43      |2024-10-22 18:59:00.000 +0200|14,940         |75            |
|2024-0062335|EB21     |Makwande                  |KS49XLGP  |2024-10-23 06:00:00.000|2024-10-23 11:08:00.000|21.24      |2024-10-23 01:27:00.000 +0200|18,480         |32            |
|2024-0062335|EB21     |Makwande                  |KS49WRGP  |2024-10-23 06:00:00.000|2024-10-23 11:08:00.000|91.83      |2024-10-23 01:27:00.000 +0200|18,480         |32            |
|2024-0054362|EB06     |Reef Tankers              |LV19PDGP  |2024-09-15 23:01:00.000|                       |92.52      |2024-09-15 22:55:00.000 +0200|               |0             |
|2024-0056281|EB06     |Makwande                  |JW33MRGP  |2024-09-24 22:26:00.000|                       |86.81      |2024-09-24 22:13:00.000 +0200|               |0             |
|2024-0059465|EA33     |Unitrans Supply Chain Sols|CAA198211 |2024-10-09 17:12:00.000|                       |88.09      |2024-10-09 17:09:00.000 +0200|               |0             |
|2024-0047062|EA33     |Reef Tankers              |LV19PXGP  |2024-08-12 14:10:00.000|                       |93.13      |2024-08-12 14:04:00.000 +0200|               |0             |
|2024-0049786|EB21     |Makwande                  |KP41VSGP  |2024-08-25 20:00:00.000|2024-08-26 08:39:00.000|75.96      |2024-08-25 20:00:00.000 +0200|45,540         |122           |
|2024-0063251|EB21     |Makwande                  |KN23LXGP  |2024-10-27 12:05:00.000|2024-10-27 23:10:00.000|88.73      |2024-10-27 12:03:00.000 +0200|39,900         |29            |
|2024-0052798|EB06     |Tanker Services Fuel      |KP80MRGP  |2024-09-08 22:21:00.000|                       |92.65      |2024-09-08 22:06:00.000 +0200|               |0             |
|2024-0060989|EB23     |Makwande                  |KNM209MP  |2024-10-16 19:00:00.000|                       |60.02      |2024-10-16 18:17:00.000 +0200|               |0             |
|2024-0048098|EA33     |Unitrans Supply Chain Sols|CAA170724 |2024-08-17 02:54:00.000|2024-08-17 11:20:00.000|94.06      |2024-08-17 02:51:00.000 +0200|30,360         |39            |
|2024-0045171|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-08-02 20:53:00.000|                       |50.79      |2024-08-02 20:28:00.000 +0200|               |0             |
|2024-0045171|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-08-02 20:53:00.000|2024-08-02 23:14:00.000|50.79      |2024-08-02 20:28:00.000 +0200|8,460          |36            |
|2024-0045690|EB05     |Anax Logistics            |JDG641EC  |2024-08-05 15:07:00.000|                       |70.76      |2024-08-05 15:05:00.000 +0200|               |0             |
|2024-0048630|EB23     |Makwande                  |KNM191MP  |2024-08-19 22:28:00.000|                       |46.41      |2024-08-19 22:25:00.000 +0200|               |0             |
|2024-0048630|EB23     |Makwande                  |KNP803MP  |2024-08-19 22:28:00.000|                       |86.22      |2024-08-19 22:25:00.000 +0200|               |0             |
|2024-0062287|EB21     |Makwande                  |KS49WRGP  |2024-10-22 20:17:00.000|2024-10-23 00:30:00.000|94.64      |2024-10-22 20:17:00.000 +0200|15,180         |118           |
|2024-0062287|EB21     |Makwande                  |KS49XLGP  |2024-10-22 20:17:00.000|2024-10-23 00:30:00.000|71.3       |2024-10-22 20:17:00.000 +0200|15,180         |118           |
|2024-0058370|EB21     |Makwande                  |KS49VWGP  |2024-10-04 21:19:00.000|2024-10-05 03:19:00.000|80.01      |2024-10-04 21:19:00.000 +0200|21,600         |101           |
|2024-0060242|EB21     |Makwande                  |KN23LXGP  |2024-10-13 16:01:00.000|2024-10-13 23:45:00.000|85.84      |2024-10-13 16:00:00.000 +0200|27,840         |102           |
|2024-0061007|EA33     |Unitrans Supply Chain Sols|CAA329952 |2024-10-16 20:22:00.000|                       |82.17      |2024-10-16 20:17:00.000 +0200|               |0             |
|2024-0045105|EB06     |Tanker Services Fuel      |KR44GGGP  |2024-08-02 12:38:00.000|                       |0          |2024-08-02 12:31:00.000 +0200|               |0             |
|2024-0045105|EB06     |Tanker Services Fuel      |KR15VMGP  |2024-08-02 12:38:00.000|                       |84.73      |2024-08-02 12:31:00.000 +0200|               |0             |
|2024-0045105|EB06     |Tanker Services Fuel      |KR44GGGP  |2024-08-02 12:38:00.000|2024-08-02 20:16:00.000|0          |2024-08-02 12:31:00.000 +0200|27,480         |133           |
|2024-0045105|EB06     |Tanker Services Fuel      |KR15VMGP  |2024-08-02 12:38:00.000|2024-08-02 20:16:00.000|84.73      |2024-08-02 12:31:00.000 +0200|27,480         |133           |
|2024-0045767|EA33     |Unitrans Supply Chain Sols|CAA170724 |2024-08-05 23:00:00.000|2024-08-05 23:33:00.000|90.34      |2024-08-05 22:57:00.000 +0200|1,980          |75            |
|2024-0052640|EA33     |Unitrans Supply Chain Sols|CAA130019 |2024-09-07 18:59:00.000|                       |80.37      |2024-09-07 18:55:00.000 +0200|               |0             |
|2024-0056691|EB23     |Makwande                  |JMJ742MP  |2024-09-26 19:03:00.000|                       |69.57      |2024-09-26 19:00:00.000 +0200|               |0             |
|2024-0057904|EB05     |Tanker Services Fuel      |KP57JXGP  |2024-10-02 17:30:00.000|                       |91.72      |2024-10-02 17:19:00.000 +0200|               |0             |
|2024-0049043|EB23     |Makwande                  |KPR059MP  |2024-08-21 17:17:00.000|2024-08-21 22:00:00.000|68.69      |2024-08-21 17:12:00.000 +0200|16,980         |132           |
|2024-0053559|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-09-11 22:13:00.000|2024-09-12 00:56:00.000|90.47      |2024-09-11 20:31:00.000 +0200|9,780          |45            |
|2024-0060754|EB21     |Makwande                  |KN23LYGP  |2024-10-15 19:51:00.000|                       |78.01      |2024-10-15 19:51:00.000 +0200|               |0             |
|2024-0061382|EB21     |Makwande                  |KN23LXGP  |2024-10-18 14:53:00.000|                       |90.42      |2024-10-18 14:52:00.000 +0200|               |0             |
|2024-0045017|EA33     |Unitrans Supply Chain Sols|CAA418992 |2024-08-02 01:50:00.000|                       |90.5       |2024-08-02 01:47:00.000 +0200|               |0             |
|2024-0045017|EA33     |Unitrans Supply Chain Sols|CAA418992 |2024-08-02 01:50:00.000|2024-08-02 19:31:00.000|90.5       |2024-08-02 01:47:00.000 +0200|63,660         |326           |
|2024-0047609|EB21     |Makwande                  |KS49XBGP  |2024-08-14 21:57:00.000|                       |92.23      |2024-08-14 21:57:00.000 +0200|               |0             |
|2024-0054105|EB06     |Makwande                  |KB53VBGP  |2024-09-14 09:45:00.000|                       |94.24      |2024-09-14 09:34:00.000 +0200|               |0             |
|2024-0056163|EB06     |Tanker Services Fuel      |KP69XNGP  |2024-09-24 11:04:00.000|                       |93.65      |2024-09-24 10:56:00.000 +0200|               |0             |
|2024-0056507|EB23     |Makwande                  |KNM209MP  |2024-09-25 22:40:00.000|                       |84.37      |2024-09-25 22:37:00.000 +0200|               |0             |
|2024-0059667|EA33     |Makwande                  |KN67GLGP  |2024-10-10 17:20:00.000|                       |91.98      |2024-10-10 16:48:00.000 +0200|               |0             |
|2024-0060162|EB21     |Makwande                  |KP57DGGP  |2024-10-13 08:19:00.000|                       |86.88      |2024-10-13 08:19:00.000 +0200|               |0             |
|2024-0047836|EA33     |Unitrans Supply Chain Sols|CAA170724 |2024-08-16 01:51:00.000|2024-08-16 11:09:00.000|61.45      |2024-08-15 23:51:00.000 +0200|33,480         |88            |
|2024-0048195|EB21     |Makwande                  |KP75JPGP  |2024-08-17 14:57:00.000|2024-08-17 20:35:00.000|66.7       |2024-08-17 14:57:00.000 +0200|20,280         |30            |
|2024-0045775|EA33     |Unitrans Supply Chain Sols|CAA329952 |2024-08-06 00:44:00.000|2024-08-06 09:55:00.000|70.73      |2024-08-06 00:11:00.000 +0200|33,060         |117           |
|2024-0047179|EA33     |Unitrans Supply Chain Sols|CAA173582 |2024-08-13 01:59:00.000|2024-08-13 13:48:00.000|91.06      |2024-08-13 01:19:00.000 +0200|42,540         |111           |
|2024-0063198|EA33     |Unitrans Supply Chain Sols|CAA130026 |2024-10-27 01:37:00.000|2024-10-27 16:16:00.000|80.2       |2024-10-27 01:33:00.000 +0200|52,740         |131           |
|2024-0055830|EB21     |Unitrans Supply Chain Sols|CAA425307 |2024-09-22 23:07:00.000|                       |85.78      |2024-09-22 23:04:00.000 +0200|               |0             |
|2024-0055889|EA35     |Unitrans Supply Chain Sols|CAA330049 |2024-09-23 08:55:00.000|                       |73.03      |2024-09-23 08:55:00.000 +0200|               |0             |
|2024-0056912|EB06     |Makwande                  |JR54VBGP  |2024-09-27 20:32:00.000|                       |83.04      |2024-09-27 20:23:00.000 +0200|               |0             |
|2024-0058718|EB05     |Anax Logistics            |JDG977EC  |2024-10-06 14:27:00.000|                       |91.73      |2024-10-06 14:25:00.000 +0200|               |0             |
|2024-0051178|EB06     |Reef Tankers              |LV19PXGP  |2024-09-01 14:36:00.000|                       |92.24      |2024-09-01 14:30:00.000 +0200|               |0             |
|2024-0061828|EB21     |Unitrans Supply Chain Sols|CAA457059 |2024-10-20 21:32:00.000|2024-10-21 01:40:00.000|84.13      |2024-10-20 21:30:00.000 +0200|14,880         |187           |
|2024-0063358|EB06     |Tanker Services Fuel      |KP80GGGP  |2024-10-27 23:21:00.000|2024-10-28 20:43:00.000|81.6       |2024-10-27 23:19:00.000 +0200|76,920         |77            |
|2024-0061389|EB06     |Tanker Services Fuel      |KR44GGGP  |2024-10-18 15:18:00.000|                       |76.45      |2024-10-18 15:15:00.000 +0200|               |0             |
|2024-0061389|EB06     |Tanker Services Fuel      |KP55MSGP  |2024-10-18 15:18:00.000|                       |87.65      |2024-10-18 15:15:00.000 +0200|               |0             |
|2024-0052477|EB06     |Reef Tankers              |LV20BGGP  |2024-09-06 23:24:00.000|                       |92.5       |2024-09-06 22:50:00.000 +0200|               |0             |
|2024-0056804|EB21     |Makwande                  |KN23LXGP  |2024-09-27 10:12:00.000|                       |60.61      |2024-09-27 10:12:00.000 +0200|               |0             |
|2024-0059013|EA33     |Unitrans Supply Chain Sols|CAA419006 |2024-10-07 19:50:00.000|                       |89.18      |2024-10-07 19:47:00.000 +0200|               |0             |
|2024-0059440|EA33     |Unitrans Supply Chain Sols|CAA425430 |2024-10-09 12:05:00.000|                       |94.26      |2024-10-09 11:12:00.000 +0200|               |0             |
