"tripnum","depotcode","transporter","vehiclereg","startdate","stopdate","avg_percent","loaddate","total_trip_time","total_distance"
"2024-0058543",EB21,Makwande,KS49WLGP,2024-10-05 17:27:00.000,,94.82,2024-10-05 17:22:00.000 +0200,,0
"2024-0046722",EB21,Makwande,KS49XLGP,2024-08-10 22:44:00.000,2024-08-11 18:10:00.000,87.5,2024-08-10 22:43:00.000 +0200,69960.0,412
"2024-0047947",EB06,Anax Logistics,JDH103EC,2024-08-16 11:35:00.000,,93.75,2024-08-16 11:27:00.000 +0200,,0
"2024-0048025",EB21,Makwande,KP57DGGP,2024-08-16 18:43:00.000,,90.28,2024-08-16 18:43:00.000 +0200,,0
"2024-0049260",EB06,Tanker Services Fuel,KS68YTGP,2024-08-22 15:00:00.000,2024-08-22 21:06:00.000,93.45,2024-08-22 14:43:00.000 +0200,21960.0,98
"2024-0051163",EB23,Makwande,JMJ091MP,,,72.25,,,21
"2024-0054992",EB05,Tanker Services Fuel,KP70DSGP,2024-09-18 13:10:00.000,,78.21,2024-09-18 13:00:00.000 +0200,,0
"2024-0056947",EA33,Unitrans Supply Chain Sols,CAA142820,2024-09-28 01:35:00.000,,85.92,2024-09-28 01:30:00.000 +0200,,0
"2024-0057631",EB06,Tanker Services Fuel,KP74KMGP,2024-10-01 12:25:00.000,,92.58,2024-10-01 12:19:00.000 +0200,,0
"2024-0057631",EB06,Tanker Services Fuel,KP80ZYGP,2024-10-01 12:25:00.000,,91.43,2024-10-01 12:19:00.000 +0200,,0
"2024-0059017",EB23,Makwande,KNM197MP,2024-10-07 20:08:00.000,2024-10-08 15:40:00.000,93.26,2024-10-07 20:00:00.000 +0200,70320.0,376
"2024-0061069",EB21,Makwande,KS49VWGP,2024-10-17 02:35:00.000,,89.63,2024-10-17 02:35:00.000 +0200,,0
"2024-0061069",EB21,Makwande,KS49WLGP,2024-10-17 02:35:00.000,,88.99,2024-10-17 02:35:00.000 +0200,,0
"2024-0047840",EB21,Makwande,KN93YRGP,2024-08-16 02:40:00.000,,94.64,2024-08-16 02:40:00.000 +0200,,0
"2024-0054683",EB23,Makwande,KPR059MP,2024-09-17 08:12:00.000,,84.12,2024-09-17 08:12:00.000 +0200,,0
"2024-0057151",EB21,Makwande,KN31RWGP,2024-09-29 09:13:00.000,2024-09-29 12:50:00.000,62.27,2024-09-29 09:13:00.000 +0200,13020.0,58
"2024-0045872",EB06,Tanker Services Fuel,KP80MRGP,2024-08-06 11:12:00.000,2024-08-06 22:16:00.000,76.68,2024-08-06 11:04:00.000 +0200,39840.0,94
"2024-0049704",EB23,Makwande,KNM209MP,2024-08-24 19:10:00.000,,86.94,2024-08-24 19:10:00.000 +0200,,0
"2024-0054723",EB06,Tanker Services Fuel,KP69XNGP,2024-09-17 10:39:00.000,,87.97,2024-09-17 10:21:00.000 +0200,,0
"2024-0048364",EB21,Makwande,KP57DGGP,2024-08-19 00:32:00.000,2024-08-19 11:05:00.000,88.57,2024-08-19 00:32:00.000 +0200,37980.0,58
"2024-0048741",EB06,Tanker Services Fuel,KP69XNGP,2024-08-20 11:13:00.000,2024-08-20 21:12:00.000,81.23,2024-08-20 10:52:00.000 +0200,35940.0,73
"2024-0049897",EB06,Tanker Services Fuel,KP80NNGP,2024-08-26 12:37:00.000,,87.96,2024-08-26 12:22:00.000 +0200,,0
"2024-0051932",EB21,Makwande,KN67GLGP,,,81.65,,,52
"2024-0062353",EB06,Makwande,JR54VBGP,2024-10-23 04:30:00.000,,70.51,2024-10-23 04:22:00.000 +0200,,0
"2024-0059869",EA33,Makwande,KN23LXGP,2024-10-11 13:53:00.000,,93.5,2024-10-11 13:45:00.000 +0200,,0
"2024-0045313",EB06,Tanker Services Fuel,KP69YSGP,2024-08-03 13:45:00.000,,86.82,2024-08-03 13:09:00.000 +0200,,0
"2024-0047174",EB21,Makwande,KS49WFGP,2024-08-13 01:33:00.000,2024-08-13 08:20:00.000,72.55,2024-08-13 01:30:00.000 +0200,24420.0,23
"2024-0049250",EB06,Tanker Services Fuel,KP80NNGP,2024-08-22 14:00:00.000,2024-08-22 21:38:00.000,94.9,2024-08-22 13:49:00.000 +0200,27480.0,105
"2024-0049694",EB05,Tanker Services Fuel,KP80KNGP,2024-08-24 16:41:00.000,,41.83,2024-08-24 16:24:00.000 +0200,,0
"2024-0055067",EA33,Unitrans Supply Chain Sols,CAA418992,2024-09-18 22:03:00.000,2024-09-18 23:54:00.000,88.71,2024-09-18 19:10:00.000 +0200,6660.0,109
"2024-0055048",EB23,Makwande,KNM193MP,2024-09-18 19:15:00.000,,74.98,2024-09-18 19:12:00.000 +0200,,0
"2024-0056002",EA33,Unitrans Supply Chain Sols,CAA142820,2024-09-23 14:46:00.000,2024-09-23 20:03:00.000,83.29,2024-09-23 13:12:00.000 +0200,19020.0,71
"2024-0057109",EB21,Unitrans Supply Chain Sols,CAA130019,2024-09-28 22:28:00.000,2024-09-29 20:06:00.000,72.33,2024-09-28 22:28:00.000 +0200,77880.0,204
"2024-0057655",EA33,Unitrans Supply Chain Sols,CAA419040,2024-10-01 15:23:00.000,2024-10-02 00:06:00.000,91.12,2024-10-01 15:21:00.000 +0200,31380.0,114
"2024-0048292",EB06,Tanker Services Fuel,KP55MSGP,2024-08-18 08:10:00.000,2024-08-18 20:54:00.000,88.89,2024-08-18 08:00:00.000 +0200,45840.0,93
"2024-0049072",EB21,Makwande,KS49WLGP,2024-08-21 21:36:00.000,,94.88,2024-08-21 21:36:00.000 +0200,,0
"2024-0051638",EB23,Makwande,KR60ZBGP,,,58.23,,,209
"2024-0051590",EA33,Unitrans Supply Chain Sols,CAA130046,,,75.05,,,95
"2024-0056119",EA33,Unitrans Supply Chain Sols,CAA142820,2024-09-24 02:37:00.000,2024-09-24 15:21:00.000,77.79,2024-09-24 02:36:00.000 +0200,45840.0,300
"2024-0057297",EB21,Makwande,KN52WDGP,2024-09-30 03:05:00.000,2024-09-30 18:00:00.000,86.63,2024-09-30 03:05:00.000 +0200,53700.0,336
"2024-0057818",EA33,Unitrans Supply Chain Sols,CAA192673,2024-10-02 10:36:00.000,2024-10-03 01:04:00.000,91.54,2024-10-02 10:32:00.000 +0200,52080.0,16
"2024-0059232",EB21,Makwande,KP41VSGP,2024-10-08 20:28:00.000,,93.32,2024-10-08 20:24:00.000 +0200,,0
"2024-0060652",EB05,Tanker Services Fuel,KP70DSGP,2024-10-14 07:05:00.000,,43.33,2024-10-14 00:00:00.000 +0200,,0
"2024-0046575",EB06,Tanker Services Fuel,KP69YSGP,2024-08-09 21:16:00.000,2024-08-10 09:03:00.000,66.33,2024-08-09 21:09:00.000 +0200,42420.0,201
"2024-0047276",EA33,Unitrans Supply Chain Sols,CAA198211,2024-08-13 11:44:00.000,2024-08-13 16:29:00.000,82.36,2024-08-13 11:40:00.000 +0200,17100.0,96
"2024-0047427",EB21,Makwande,KN52WDGP,2024-08-14 02:38:00.000,2024-08-14 14:09:00.000,68.72,2024-08-14 02:38:00.000 +0200,41460.0,165
"2024-0049508",EA35,Unitrans Supply Chain Sols,CAA306835,2024-08-23 15:49:00.000,,64.6,2024-08-23 15:46:00.000 +0200,,0
"2024-0050535",EA33,Unitrans Supply Chain Sols,CAA142820,2024-08-29 02:59:00.000,2024-08-29 03:20:00.000,81.94,2024-08-29 02:52:00.000 +0200,1260.0,430
"2024-0052537",EB06,Tanker Services Fuel,KR89BYGP,2024-09-07 09:46:00.000,2024-09-07 09:47:00.000,87.94,2024-09-07 02:07:00.000 +0200,60.0,23
"2024-0054643",EB06,Reef Tankers,LV19PNGP,2024-09-17 01:05:00.000,,92.55,2024-09-17 00:50:00.000 +0200,,0
"2024-0059241",EB21,Makwande,KN23LYGP,2024-10-08 20:59:00.000,,92.2,2024-10-08 20:59:00.000 +0200,,0
"2024-0060789",EB06,Tanker Services Fuel,KP69YSGP,2024-10-15 22:36:00.000,2024-10-16 09:45:00.000,92.02,2024-10-15 22:32:00.000 +0200,40140.0,77
"2024-0063682",EB21,Makwande,KR18VMGP,2024-10-29 08:19:00.000,2024-10-29 15:00:00.000,47.09,2024-10-29 08:19:00.000 +0200,24060.0,222
"2024-0045162",EB21,Makwande,KN52WDGP,2024-08-02 20:04:00.000,,91.68,2024-08-02 20:04:00.000 +0200,,0
"2024-0045162",EB21,Makwande,KN52WDGP,2024-08-02 20:04:00.000,2024-08-03 08:50:00.000,91.68,2024-08-02 20:04:00.000 +0200,45960.0,276
"2024-0055014",EB06,Makwande,LB67SXGP,2024-09-18 15:30:00.000,,94.96,2024-09-18 15:10:00.000 +0200,,0
"2024-0059996",EB21,Makwande,KS49WLGP,2024-10-12 09:14:00.000,,84.22,2024-10-12 09:14:00.000 +0200,,0
"2024-0059996",EB21,Makwande,KS49VWGP,2024-10-12 09:14:00.000,,67.28,2024-10-12 09:14:00.000 +0200,,0
"2024-0050559",EB23,Makwande,KR60ZBGP,2024-08-29 08:24:00.000,,86.49,2024-08-29 08:24:00.000 +0200,,0
"2024-0051756",EB06,Tanker Services Fuel,KP80NNGP,,,94.76,,,153
"2024-0052215",EA33,Unitrans Supply Chain Sols,CAA130026,2024-09-05 18:51:00.000,2024-09-05 22:06:00.000,79.66,2024-09-05 18:46:00.000 +0200,11700.0,92
"2024-0062976",EB23,Makwande,KNP802MP,2024-10-25 22:17:00.000,,84.37,2024-10-25 22:16:00.000 +0200,,0
"2024-0054212",EB05,Reef Tankers,JN19RYGP,2024-09-14 17:34:00.000,,75.95,2024-09-14 17:34:00.000 +0200,,0
"2024-0059500",EA33,Unitrans Supply Chain Sols,CAA425312,2024-10-09 20:46:00.000,,94.5,2024-10-09 20:41:00.000 +0200,,0
"2024-0045552",EB06,Tanker Services Fuel,KP80MRGP,2024-08-05 02:41:00.000,,91.84,2024-08-05 02:30:00.000 +0200,,0
"2024-0047763",EB21,Makwande,KN52WDGP,2024-08-15 16:11:00.000,2024-08-15 23:40:00.000,70.93,2024-08-15 16:11:00.000 +0200,26940.0,119
"2024-0048237",EB21,Makwande,KP57DGGP,2024-08-17 19:49:00.000,2024-08-18 12:45:00.000,92.74,2024-08-17 19:49:00.000 +0200,60960.0,206
"2024-0049226",EA33,Unitrans Supply Chain Sols,CAA130019,2024-08-22 12:31:00.000,2024-08-22 20:43:00.000,49.13,2024-08-22 12:30:00.000 +0200,29520.0,76
"2024-0049033",EB06,Tanker Services Fuel,KP69YDGP,2024-08-21 16:35:00.000,2024-08-21 23:00:00.000,73.83,2024-08-21 16:19:00.000 +0200,23100.0,77
"2024-0055575",EB06,Tanker Services Fuel,HG68LCGP,2024-09-21 11:05:00.000,,90.57,2024-09-21 10:52:00.000 +0200,,0
"2024-0056015",EB06,Makwande,DN38DCGP,2024-09-23 16:04:00.000,,93.22,2024-09-23 15:54:00.000 +0200,,0
"2024-0056428",EB06,Reef Tankers,LV19ZYGP,2024-09-25 14:25:00.000,,91.94,2024-09-25 14:05:00.000 +0200,,0
"2024-0060795",EB06,Tanker Services Fuel,KP80HXGP,2024-10-16 00:02:00.000,,90.41,2024-10-15 23:57:00.000 +0200,,0
"2024-0045176",EB06,Tanker Services Fuel,KR44GGGP,2024-08-02 21:02:00.000,,23.78,2024-08-02 20:51:00.000 +0200,,0
"2024-0045176",EB06,Tanker Services Fuel,KR15VMGP,2024-08-02 21:02:00.000,,76.81,2024-08-02 20:51:00.000 +0200,,0
"2024-0045647",EB05,Tanker Services Fuel,KP70DSGP,2024-08-05 12:25:00.000,,92.54,2024-08-05 08:49:00.000 +0200,,0
"2024-0047665",EB23,Makwande,KNM191MP,2024-08-15 08:33:00.000,2024-08-15 19:15:00.000,62.87,2024-08-14 21:12:00.000 +0200,38520.0,487
"2024-0047665",EB23,Makwande,KNP803MP,2024-08-15 08:33:00.000,2024-08-15 19:15:00.000,86.13,2024-08-14 21:12:00.000 +0200,38520.0,487
"2024-0057216",EB21,Makwande,KN23MGGP,2024-09-29 15:43:00.000,,57.73,2024-09-29 15:43:00.000 +0200,,0
"2024-0058444",EB05,Reef Tankers,DH83YLGP,2024-10-05 09:19:00.000,,92.39,2024-10-05 09:18:00.000 +0200,,0
"2024-0060294",EB06,Reef Tankers,HH81RLGP,2024-10-13 22:45:00.000,2024-10-14 15:06:00.000,94.97,2024-10-13 22:43:00.000 +0200,58860.0,258
"2024-0059712",EB21,Makwande,KN23LYGP,2024-10-10 20:39:00.000,,91.19,2024-10-10 20:39:00.000 +0200,,0
"2024-0061049",EA33,Unitrans Supply Chain Sols,CAA198211,2024-10-17 01:02:00.000,,88.2,2024-10-17 00:59:00.000 +0200,,0
"2024-0045970",EA33,Unitrans Supply Chain Sols,CAA418992,2024-08-06 20:58:00.000,2024-08-07 01:47:00.000,88.63,2024-08-06 20:55:00.000 +0200,17340.0,93
"2024-0046875",EA33,Reef Tankers,LV19ZMGP,2024-08-11 19:54:00.000,,94.64,2024-08-11 19:50:00.000 +0200,,0
"2024-0047592",EA33,Unitrans Supply Chain Sols,CAA130026,2024-08-14 20:02:00.000,2024-08-15 00:54:00.000,94.27,2024-08-14 19:57:00.000 +0200,17520.0,111
"2024-0050315",EB21,Makwande,KS49WLGP,2024-08-28 09:22:00.000,2024-08-28 12:25:00.000,56.74,2024-08-28 09:22:00.000 +0200,10980.0,33
"2024-0050315",EB21,Makwande,KS49VWGP,2024-08-28 09:22:00.000,2024-08-28 12:25:00.000,39.1,2024-08-28 09:22:00.000 +0200,10980.0,33
"2024-0062418",EA33,Unitrans Supply Chain Sols,CAA198211,2024-10-23 10:54:00.000,2024-10-23 13:23:00.000,88.32,2024-10-23 08:52:00.000 +0200,8940.0,93
"2024-0062845",EB21,Makwande,KS49VWGP,2024-10-25 10:28:00.000,2024-10-25 20:29:00.000,92.08,2024-10-25 10:28:00.000 +0200,36060.0,106
"2024-0062845",EB21,Makwande,KS49WLGP,2024-10-25 10:28:00.000,2024-10-25 20:29:00.000,91.34,2024-10-25 10:28:00.000 +0200,36060.0,106
"2024-0062937",EB21,Makwande,KP57DGGP,2024-10-25 19:14:00.000,2024-10-26 07:50:00.000,94.8,2024-10-25 19:14:00.000 +0200,45360.0,209
"2024-0054907",EB21,Makwande,KS49VWGP,2024-09-18 08:58:00.000,,23.77,2024-09-18 08:51:00.000 +0200,,0
"2024-0054907",EB21,Makwande,KS49WLGP,2024-09-18 08:58:00.000,,78.87,2024-09-18 08:51:00.000 +0200,,0
"2024-0060280",EB06,Tanker Services Fuel,KP74KMGP,2024-10-13 20:31:00.000,,93.8,2024-10-13 20:26:00.000 +0200,,0
"2024-0057122",EA33,Unitrans Supply Chain Sols,CAA198211,2024-09-29 00:47:00.000,,86.59,2024-09-29 00:43:00.000 +0200,,0
"2024-0058581",EB06,Tanker Services Fuel,KP69YDGP,2024-10-05 23:24:00.000,,91.45,2024-10-05 23:19:00.000 +0200,,0
"2024-0047626",EA33,Unitrans Supply Chain Sols,CAA419006,2024-08-14 23:29:00.000,2024-08-15 13:46:00.000,94.04,2024-08-14 23:25:00.000 +0200,51420.0,139
"2024-0049013",EA33,Unitrans Supply Chain Sols,CAA170724,2024-08-21 08:30:00.000,2024-08-21 19:20:00.000,61.5,2024-08-21 08:23:00.000 +0200,39000.0,126
"2024-0063250",EB21,Makwande,KN23LYGP,2024-10-27 12:03:00.000,2024-10-27 22:28:00.000,87.49,2024-10-27 12:03:00.000 +0200,37500.0,51
"2024-0063615",EB06,Reef Tankers,LC21FWGP,2024-10-28 22:08:00.000,2024-10-29 20:37:00.000,89.06,2024-10-28 22:03:00.000 +0200,80940.0,425
"2024-0045782",EA33,Unitrans Supply Chain Sols,CAA173582,2024-08-06 01:19:00.000,2024-08-06 20:26:00.000,88.05,2024-08-06 01:16:00.000 +0200,68820.0,140
"2024-0048606",EA33,Unitrans Supply Chain Sols,CAA142820,2024-08-19 20:18:00.000,2024-08-19 21:21:00.000,89.65,2024-08-19 20:06:00.000 +0200,3780.0,98
"2024-0051776",EA33,Unitrans Supply Chain Sols,CAA130046,,,78.05,,,117
"2024-0052127",EB06,Tanker Services Fuel,KP80GGGP,2024-09-05 11:36:00.000,2024-09-05 17:00:00.000,29.62,2024-09-05 11:18:00.000 +0200,19440.0,139
"2024-0062945",EB21,Makwande,KN23MGGP,2024-10-25 19:41:00.000,2024-10-26 08:00:00.000,80.86,2024-10-25 19:41:00.000 +0200,44340.0,273
"2024-0061982",EB06,Makwande,KB53VBGP,2024-10-21 12:12:00.000,,73.72,2024-10-21 12:09:00.000 +0200,,0
"2024-0053342",EB21,Makwande,KP75JPGP,2024-09-11 00:31:00.000,,83.5,2024-09-11 00:31:00.000 +0200,,0
"2024-0061161",EA33,Unitrans Supply Chain Sols,CAA173582,2024-10-17 12:40:00.000,,92.9,2024-10-17 12:39:00.000 +0200,,0
"2024-0046337",EB06,Maphalakarabo,FPC349L,2024-08-08 14:50:00.000,,85.03,2024-08-08 14:42:00.000 +0200,,0
"2024-0052244",EB23,Makwande,KNM197MP,2024-09-05 21:53:00.000,,48.88,2024-09-05 21:51:00.000 +0200,,0
"2024-0055837",EA33,Unitrans Supply Chain Sols,CAA173582,2024-09-22 23:33:00.000,,66.51,2024-09-22 22:29:00.000 +0200,,0
"2024-0059701",EB21,Makwande,KP75JPGP,2024-10-10 19:32:00.000,2024-10-11 00:10:00.000,92.12,2024-10-10 19:30:00.000 +0200,16680.0,73
"2024-0060741",EB06,Tanker Services Fuel,KP80HXGP,2024-10-15 18:05:00.000,,91.29,2024-10-15 17:48:00.000 +0200,,0
"2024-0061012",EA33,Unitrans Supply Chain Sols,CAA425318,2024-10-16 20:40:00.000,,88.43,2024-10-16 20:35:00.000 +0200,,0
"2024-0047393",EB06,Tanker Services Fuel,KP69WCGP,2024-08-13 22:51:00.000,2024-08-14 09:43:00.000,67.13,2024-08-13 22:36:00.000 +0200,39120.0,300
"2024-0049082",EB06,Tanker Services Fuel,KP70BFGP,2024-08-21 22:00:00.000,2024-08-22 08:56:00.000,80.18,2024-08-21 21:49:00.000 +0200,39360.0,181
"2024-0049877",EB06,Tanker Services Fuel,KP80HXGP,2024-08-26 10:17:00.000,,42.77,2024-08-26 10:11:00.000 +0200,,0
"2024-0058230",EB05,Tanker Services Fuel,KP69WYGP,2024-10-04 09:21:00.000,,94.58,2024-10-04 09:09:00.000 +0200,,0
"2024-0061210",EA33,Unitrans Supply Chain Sols,CAA425318,2024-10-17 20:06:00.000,,92.38,2024-10-17 19:55:00.000 +0200,,0
"2024-0061929",EB08,Tanker Services Fuel,KP69ZRGP,2024-10-21 10:20:00.000,2024-10-21 19:30:00.000,90.97,2024-10-21 10:04:00.000 +0200,33000.0,252
"2024-0052378",EB06,Reef Tankers,DN77HZGP,2024-09-06 13:58:00.000,,94.97,2024-09-06 13:33:00.000 +0200,,0
"2024-0054773",EB06,Reef Tankers,LV20BGGP,2024-09-17 14:45:00.000,,94.87,2024-09-17 14:36:00.000 +0200,,0
"2024-0058098",EB06,Tanker Services Fuel,KP80ZYGP,2024-10-03 15:49:00.000,2024-10-04 00:27:00.000,94.99,2024-10-03 15:44:00.000 +0200,31080.0,78
"2024-0058098",EB06,Tanker Services Fuel,KP74KMGP,2024-10-03 15:49:00.000,2024-10-04 00:27:00.000,84.54,2024-10-03 15:44:00.000 +0200,31080.0,78
"2024-0058368",EB06,Tanker Services Fuel,KP70BFGP,2024-10-04 21:08:00.000,2024-10-05 01:06:00.000,91.96,2024-10-04 20:58:00.000 +0200,14280.0,78
"2024-0061832",EB06,Tanker Services Fuel,KR44GGGP,2024-10-20 21:52:00.000,2024-10-21 08:29:00.000,91.03,2024-10-20 21:47:00.000 +0200,38220.0,55
"2024-0061832",EB06,Tanker Services Fuel,KR15VMGP,2024-10-20 21:52:00.000,2024-10-21 08:29:00.000,88.41,2024-10-20 21:47:00.000 +0200,38220.0,55
"2024-0063013",EB23,Makwande,JMJ091MP,2024-10-26 08:06:00.000,2024-10-26 11:33:00.000,62.14,2024-10-26 08:03:00.000 +0200,12420.0,19
"2024-0063147",EB23,Makwande,KNM193MP,2024-10-26 19:29:00.000,2024-10-26 21:00:00.000,47.08,2024-10-26 19:28:00.000 +0200,5460.0,14
"2024-0053807",EB21,Unitrans Supply Chain Sols,CAA130019,2024-09-12 22:54:00.000,2024-09-13 08:12:00.000,81.71,2024-09-12 22:53:00.000 +0200,33480.0,289
"2024-0054778",EA33,Unitrans Supply Chain Sols,CAA192673,2024-09-17 15:17:00.000,,87.98,2024-09-17 15:11:00.000 +0200,,0
"2024-0055323",EB21,Makwande,KN31RWGP,2024-09-20 04:22:00.000,,94.07,2024-09-20 04:16:00.000 +0200,,0
"2024-0056181",EB05,Anax Logistics,JDG641EC,2024-09-24 13:38:00.000,,83.52,2024-09-24 13:37:00.000 +0200,,0
"2024-0058023",EA33,Unitrans Supply Chain Sols,CAA418992,2024-10-03 09:29:00.000,2024-10-03 14:18:00.000,92.24,2024-10-03 09:17:00.000 +0200,17340.0,65
"2024-0045341",EB21,Makwande,KN52WDGP,2024-08-03 16:13:00.000,,83.7,2024-08-03 16:13:00.000 +0200,,0
"2024-0045744",EB21,Makwande,KR18VMGP,2024-08-05 20:08:00.000,2024-08-06 01:30:00.000,86.63,2024-08-05 20:08:00.000 +0200,19320.0,111
"2024-0047868",EB21,Makwande,KP75JPGP,2024-08-16 09:00:00.000,2024-08-16 11:45:00.000,83.28,2024-08-16 08:58:00.000 +0200,9900.0,40
"2024-0062970",EB21,Makwande,KN31RWGP,2024-10-25 21:37:00.000,2024-10-26 09:10:00.000,86.7,2024-10-25 21:34:00.000 +0200,41580.0,324
"2024-0059515",EB06,Tanker Services Fuel,KP69XNGP,2024-10-09 22:01:00.000,,78.95,2024-10-09 21:49:00.000 +0200,,0
"2024-0061034",EB06,Reef Tankers,DX35GDGP,2024-10-16 22:26:00.000,,94.67,2024-10-16 22:24:00.000 +0200,,0
"2024-0045364",EB06,Reef Tankers,LC21FWGP,2024-08-03 20:58:00.000,,89.44,2024-08-03 20:37:00.000 +0200,,0
"2024-0045968",EA33,Unitrans Supply Chain Sols,CAA425312,2024-08-06 20:55:00.000,2024-08-07 01:35:00.000,32.61,2024-08-06 20:47:00.000 +0200,16800.0,93
"2024-0046477",EA33,Unitrans Supply Chain Sols,CAA548852,2024-08-09 11:34:00.000,2024-08-09 19:44:00.000,67.18,2024-08-09 11:29:00.000 +0200,29400.0,87
"2024-0048870",EA33,Unitrans Supply Chain Sols,CAA198199,2024-08-21 00:15:00.000,2024-08-21 07:47:00.000,87.74,2024-08-20 23:50:00.000 +0200,27120.0,42
"2024-0062960",EB06,Tanker Services Fuel,KP80MRGP,2024-10-25 21:06:00.000,2024-10-26 08:36:00.000,91.63,2024-10-25 20:57:00.000 +0200,41400.0,94
"2024-0055449",EA33,Unitrans Supply Chain Sols,CAA329932,2024-09-20 17:09:00.000,,89.52,2024-09-20 16:50:00.000 +0200,,0
"2024-0056499",EB06,Tanker Services Fuel,KP69XNGP,2024-09-25 21:24:00.000,,67.03,2024-09-25 21:09:00.000 +0200,,0
"2024-0058083",EB05,Tanker Services Fuel,KP57JKGP,2024-10-03 13:54:00.000,,89.22,2024-10-03 13:53:00.000 +0200,,0
"2024-0058277",EB06,Tanker Services Fuel,KP80GGGP,2024-10-04 10:16:00.000,2024-10-04 20:37:00.000,85.33,2024-10-04 10:10:00.000 +0200,37260.0,117
"2024-0052606",EA33,Unitrans Supply Chain Sols,CAA425430,2024-09-07 15:01:00.000,2024-09-07 18:16:00.000,87.05,2024-09-07 12:06:00.000 +0200,11700.0,128
"2024-0054640",EA33,Unitrans Supply Chain Sols,CAA170724,2024-09-17 01:00:00.000,2024-09-17 02:04:00.000,91.92,2024-09-17 00:53:00.000 +0200,3840.0,47
"2024-0055092",EB06,Tanker Services Fuel,KP80HXGP,2024-09-18 23:56:00.000,2024-09-19 22:47:00.000,81.72,2024-09-18 23:48:00.000 +0200,82260.0,385
"2024-0057255",EB06,Tanker Services Fuel,KP80HXGP,2024-09-29 21:18:00.000,,81.51,2024-09-29 21:16:00.000 +0200,,0
"2024-0057595",EB06,Reef Tankers,HJ73JZGP,2024-10-01 10:48:00.000,,89.8,2024-10-01 10:37:00.000 +0200,,0
"2024-0059036",EB21,Makwande,KS49WLGP,2024-10-07 21:26:00.000,2024-10-08 09:10:00.000,77.34,2024-10-07 21:26:00.000 +0200,42240.0,186
"2024-0059036",EB21,Makwande,KS49VWGP,2024-10-07 21:26:00.000,2024-10-08 09:10:00.000,88.62,2024-10-07 21:26:00.000 +0200,42240.0,186
"2024-0062931",EA33,Unitrans Supply Chain Sols,CAA425318,2024-10-25 18:02:00.000,2024-10-25 20:23:00.000,91.5,2024-10-25 14:26:00.000 +0200,8460.0,72
"2024-0056097",EA33,Unitrans Supply Chain Sols,CAA419006,2024-09-23 22:50:00.000,,89.73,2024-09-23 22:48:00.000 +0200,,0
"2024-0059733",EB06,Makwande,JR54VBGP,2024-10-10 23:02:00.000,,82.71,2024-10-10 22:55:00.000 +0200,,0
"2024-0060672",EA33,Unitrans Supply Chain Sols,CAA142820,2024-10-15 12:32:00.000,2024-10-15 19:39:00.000,80.27,2024-10-15 11:09:00.000 +0200,25620.0,78
"2024-0048033",EA33,Unitrans Supply Chain Sols,CAA329952,2024-08-16 20:14:00.000,2024-08-17 02:00:00.000,89.46,2024-08-16 20:10:00.000 +0200,20760.0,122
"2024-0049981",EB06,Tanker Services Fuel,KP55MSGP,2024-08-26 20:09:00.000,2024-08-27 08:41:00.000,84.1,2024-08-26 19:47:00.000 +0200,45120.0,102
"2024-0050544",EB21,Makwande,KP41VSGP,2024-08-29 01:27:00.000,2024-08-29 06:16:00.000,88.46,2024-08-29 01:24:00.000 +0200,17340.0,61
"2024-0062321",EA33,Unitrans Supply Chain Sols,CAA192673,2024-10-22 23:24:00.000,2024-10-23 13:34:00.000,93.82,2024-10-22 23:23:00.000 +0200,51000.0,71
"2024-0059081",EB21,Makwande,KP41VSGP,2024-10-08 08:23:00.000,2024-10-08 18:00:00.000,88.07,2024-10-08 08:20:00.000 +0200,34620.0,325
"2024-0047524",EB21,Makwande,KN67GLGP,2024-08-14 12:58:00.000,2024-08-15 08:02:00.000,87.42,2024-08-14 12:58:00.000 +0200,68640.0,51
"2024-0051253",EA33,Unitrans Supply Chain Sols,CAA198211,,,93.69,,,74
"2024-0062089",EB21,Makwande,KN23LYGP,2024-10-21 22:59:00.000,2024-10-22 08:02:00.000,92.78,2024-10-21 22:59:00.000 +0200,32580.0,54
"2024-0053911",EB05,Anax Logistics,JDG977EC,2024-09-13 12:14:00.000,,91.86,2024-09-13 12:10:00.000 +0200,,0
"2024-0056083",EB21,Unitrans Supply Chain Sols,CAA425307,2024-09-23 21:04:00.000,2024-09-24 08:13:00.000,83.96,2024-09-23 21:04:00.000 +0200,40140.0,195
"2024-0060088",EB21,Makwande,KS49VWGP,2024-10-12 19:58:00.000,,84.83,2024-10-12 19:58:00.000 +0200,,0
"2024-0060088",EB21,Makwande,KS49WLGP,2024-10-12 19:58:00.000,,88.34,2024-10-12 19:58:00.000 +0200,,0
"2024-0056595",EB06,Tanker Services Fuel,KP70CRGP,2024-09-26 10:32:00.000,,78.1,2024-09-26 10:23:00.000 +0200,,0
"2024-0049844",EB23,Makwande,KNP803MP,2024-08-26 08:08:00.000,,76.27,2024-08-26 08:00:00.000 +0200,,0
"2024-0049844",EB23,Makwande,KNM191MP,2024-08-26 08:08:00.000,,0.0,2024-08-26 08:00:00.000 +0200,,0
"2024-0051909",EB21,Makwande,KN93YRGP,,,89.35,,,56
"2024-0062569",EB21,Makwande,KP57DGGP,2024-10-24 03:16:00.000,2024-10-24 12:33:00.000,86.19,2024-10-24 03:16:00.000 +0200,33420.0,110
